Package,Version,Group,Publisher,Repo_URL,Unclass_Total,Passes_SIA,eFOSS_Status,Is_Direct,Description,Mission_Justification,Mission_Impact,Is_Latest_Version,Older_Version_Justification,Prev_Approved_Versions,Vulnerabilities,Critical_or_High,Is_Executable,Non_Standard_File,Security_Scannable,Is_Modified,Procurement,OS_Identification,Alternate_Solutions,Used_On_Deliverable,Software_Type,End_Use,SIA_Scan_ID,SIA_Scan_Date,Stars,Forks,Closed_Issues,Releases,Tags,Age_Days,Last_Update_Hours,Prevalence_Score,Stars_Score,Forks_Score,Maturity_Score,Last_Update_Score,Trusted_Org_Bonus,Trusted_Orgs
click,8.3.1,pypi,pallets,https://github.com/pallets/click,75,True,,False,Composable command line interface toolkit,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,08a407fc-81f9-4583-8bd6-1354d29f048e,2026-02-13T22:49:45.946763Z,17205,1561,1616,24,65,4314,27,20,10,15,15,15,0,
colorama,0.4.6,pypi,tartley,https://github.com/tartley/colorama,73,True,,False,Cross-platform colored terminal text.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,3b17f4da-804c-4efe-95f6-49a8390ed470,2026-02-13T22:49:45.930240Z,3765,267,142,0,15,4321,165,18,10,15,15,15,0,
grpcio,1.76.0,pypi,grpc,https://github.com/grpc/grpc,75,True,,False,HTTP/2-based RPC framework,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,0e2233b8-efa4-4170-b18f-f740be472390,2026-02-13T22:49:46.095955Z,44344,11050,11210,363,410,4086,23,20,10,15,15,15,0,
grpcio-tools,1.76.0,pypi,grpc,https://github.com/grpc/grpc,75,True,,False,Protobuf code generator for gRPC,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,0e2233b8-efa4-4170-b18f-f740be472390,2026-02-13T22:49:46.095955Z,44344,11050,11210,363,410,4086,23,20,10,15,15,15,0,
natsort,8.4.0,pypi,SethMMorton,https://github.com/SethMMorton/natsort,75,True,,False,Simple yet flexible natural sorting in Python.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,35ffb042-0210-45cb-91b6-42a4e41d8b53,2026-02-13T22:49:45.758059Z,1005,58,97,0,62,5036,88,20,10,15,15,15,0,
numpy,2.4.2,pypi,numpy,https://github.com/numpy/numpy,75,True,,True,Fundamental package for array computing in Python,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,c1f27963-ccad-4597-9fbe-73a4f9bcd7fd,2026-02-13T23:30:43.381037Z,31435,12051,11698,139,270,5633,19,20,10,15,15,15,0,
overrides,7.7.0,pypi,mkorpela,https://github.com/mkorpela/overrides,63,Undetermined,,False,A decorator to automatically detect mismatch when overriding a method.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,6c20f0fa-c2d0-4106-ba08-674f6072c0f2,2026-02-13T22:49:45.836659Z,270,34,71,22,28,3920,1328,14,10,12,15,12,0,
pandas,3.0.0,pypi,pandas-dev,https://github.com/pandas-dev/pandas,75,True,,True,"Powerful data structures for data analysis, time series, and statistics",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,1d34831f-56c9-4600-a8ff-27f090bc79dc,2026-02-13T23:30:42.515911Z,47875,19650,24663,117,186,5654,20,20,10,15,15,15,0,
pip,25.0.1,pypi,pypa,https://github.com/pypa/pip,75,True,,False,The PyPA recommended tool for installing Python packages.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,be4f234f-37cd-4528-a292-218d736ecf27,2026-02-13T22:49:47.333144Z,10093,3237,6748,0,160,5459,29,20,10,15,15,15,0,
protobuf,6.33.2,pypi,,,,,,False,,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,pypi,DELIVERABLE,,,,,,,,,,,,,,,,
