Component,Version,Group,Is_Direct,License,Vulnerabilities
antlr4,4.13.2,org.antlr,True,['BSD-3-Clause'],
antlr4-runtime,4.13.2,org.antlr,False,['BSD-3-Clause'],
antlr-runtime,3.5.3,org.antlr,False,['BSD licence'],
ST4,4.3.4,org.antlr,False,['BSD-4-Clause'],
org.abego.treelayout.core,1.0.3,org.abego.treelayout,False,['BSD-3-Clause'],
icu4j,72.1,com.ibm.icu,False,['Unicode/ICU License'],
apm-agent-attach,1.55.2,co.elastic.apm,True,['Apache-2.0'],
jna-platform,5.3.1,net.java.dev.jna,False,"['LGPL, version 2.1', 'Apache-2.0']",
asm-commons,9.9.1,org.ow2.asm,True,['BSD-3-Clause'],
asm,9.9.1,org.ow2.asm,False,['BSD-3-Clause'],
asm-tree,9.9.1,org.ow2.asm,False,['BSD-3-Clause'],
aspectjweaver,1.9.25,org.aspectj,True,['EPL-2.0'],
dom4j,2.2.0,org.dom4j,True,['BSD-3-Clause'],
fastexcel,0.19.0,org.dhatim,True,['Apache-2.0'],
opczip,1.2.0,com.github.rzymek,False,['Apache-2.0'],
fastexcel-reader,0.19.0,org.dhatim,True,['Apache-2.0'],
aalto-xml,1.3.3,com.fasterxml,False,['Apache-2.0'],
stax2-api,4.2.2,org.codehaus.woodstox,False,['BSD-2-Clause'],
commons-compress,1.28.0,org.apache.commons,False,['Apache-2.0'],
gson,2.13.2,com.google.code.gson,True,['Apache-2.0'],
error_prone_annotations,2.41.0,com.google.errorprone,False,['Apache-2.0'],
httpclient,4.5.14,org.apache.httpcomponents,True,['Apache-2.0'],
httpcore,4.4.16,org.apache.httpcomponents,False,['Apache-2.0'],
commons-logging,1.3.5,commons-logging,False,['Apache-2.0'],
commons-codec,1.20.0,commons-codec,False,['Apache-2.0'],
jackson-datatype-jsr310,2.20.1,com.fasterxml.jackson.datatype,True,['Apache-2.0'],
jackson-annotations,2.20,com.fasterxml.jackson.core,False,['Apache-2.0'],
jackson-core,2.20.1,com.fasterxml.jackson.core,False,['Apache-2.0'],
jackson-databind,2.20.1,com.fasterxml.jackson.core,False,['Apache-2.0'],
jackson-module-parameter-names,2.20.1,com.fasterxml.jackson.module,True,['Apache-2.0'],
jackson-module-scala_2.13,2.20.1,com.fasterxml.jackson.module,True,['Apache-2.0'],
scala-library,2.13.18,org.scala-lang,False,['Apache-2.0'],
paranamer,2.8.3,com.thoughtworks.paranamer,False,['BSD-4-Clause'],
jakarta.xml.bind-api,4.0.4,jakarta.xml.bind,True,['BSD-3-Clause'],
jakarta.activation-api,2.1.4,jakarta.activation,False,['BSD-3-Clause'],
jandex,3.5.3,io.smallrye,True,['Apache-2.0'],
javassist,3.30.2-GA,org.javassist,True,"['MPL-1.1', 'LGPL-2.1-only', 'Apache-2.0']",
jakarta.json-api,2.1.3,jakarta.json,True,"['EPL-2.0', 'GNU General Public License, version 2 with the GNU Classpath Exception']",
jakarta.json,2.0.1,org.glassfish,True,"['EPL-2.0', 'GNU General Public License, version 2 with the GNU Classpath Exception']",
jsqlparser,5.3,com.github.jsqlparser,True,"['LGPL-2.1-only', 'Apache-2.0']",
jmh-core,1.37,org.openjdk.jmh,False,"['GNU General Public License (GPL), version 2, with the Classpath exception']",
commons-math3,3.6.1,org.apache.commons,False,['Apache-2.0'],
kafka_2.13,4.1.1,org.apache.kafka,True,['Apache-2.0'],
kafka-clients,4.1.1,org.apache.kafka,False,['Apache-2.0'],
zstd-jni,1.5.6-10,com.github.luben,False,['BSD-2-Clause'],
lz4-java,1.8.0,org.lz4,False,['Apache-2.0'],
snappy-java,1.1.10.7,org.xerial.snappy,False,['Apache-2.0'],
kafka-server-common,4.1.1,org.apache.kafka,False,['Apache-2.0'],
pcollections,4.0.2,org.pcollections,False,['MIT'],
kafka-group-coordinator-api,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-group-coordinator,4.1.1,org.apache.kafka,False,['Apache-2.0'],
HdrHistogram,2.2.2,org.hdrhistogram,False,"['CC0-1.0', 'BSD-2-Clause']",
hash4j,0.22.0,com.dynatrace.hash4j,False,['Apache-2.0'],
kafka-transaction-coordinator,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-metadata,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-storage-api,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-tools-api,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-raft,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-storage,4.1.1,org.apache.kafka,False,['Apache-2.0'],
caffeine,3.2.0,com.github.ben-manes.caffeine,False,['Apache-2.0'],
kafka-server,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-coordinator-common,4.1.1,org.apache.kafka,False,['Apache-2.0'],
kafka-share-coordinator,4.1.1,org.apache.kafka,False,['Apache-2.0'],
argparse4j,0.7.0,net.sourceforge.argparse4j,False,['MIT'],
commons-validator,1.9.0,commons-validator,False,['Apache-2.0'],
commons-beanutils,1.9.4,commons-beanutils,False,['Apache-2.0'],
commons-digester,2.1,commons-digester,False,['Apache-2.0'],
commons-collections,3.2.2,commons-collections,False,['Apache-2.0'],
jopt-simple,5.0.4,net.sf.jopt-simple,False,['MIT'],
jose4j,0.9.6,org.bitbucket.b_c,False,['Apache-2.0'],
metrics-core,2.2.0,com.yammer.metrics,False,['Apache-2.0'],
scala-logging_2.13,3.9.5,com.typesafe.scala-logging,False,['Apache-2.0'],
slf4j-api,2.0.17,org.slf4j,False,['MIT'],
re2j,1.8,com.google.re2j,False,['Go License'],
