Package,Version,Group,Publisher,Repo_URL,Unclass_Total,Passes_SIA,eFOSS_Status,Is_Direct,Description,Mission_Justification,Mission_Impact,Is_Latest_Version,Older_Version_Justification,Prev_Approved_Versions,Vulnerabilities,Critical_or_High,Is_Executable,Non_Standard_File,Security_Scannable,Is_Modified,Procurement,OS_Identification,Alternate_Solutions,Used_On_Deliverable,Software_Type,End_Use,SIA_Scan_ID,SIA_Scan_Date,Stars,Forks,Closed_Issues,Releases,Tags,Age_Days,Last_Update_Hours,Prevalence_Score,Stars_Score,Forks_Score,Maturity_Score,Last_Update_Score,Trusted_Org_Bonus,Trusted_Orgs
antlr4,4.13.2,org.antlr,ANTLR,https://github.com/antlr/antlr4,75,True,,True,The ANTLR 4 grammar compiler.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,261ff288-34bf-4394-9570-bfe4441a735b,2026-02-10T21:34:39.850334+00:00,18721,3429,1517,31,64,5851,5,20,10,15,15,15,0,
antlr4-runtime,4.13.2,org.antlr,ANTLR,https://github.com/antlr/antlr4,75,True,,False,The ANTLR 4 Runtime,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,261ff288-34bf-4394-9570-bfe4441a735b,2026-02-10T21:34:39.850334+00:00,18721,3429,1517,31,64,5851,5,20,10,15,15,15,0,
antlr-runtime,3.5.3,org.antlr,ANTLR,https://github.com/antlr/antlr3,64,Undetermined,,False,"A framework for constructing recognizers, compilers, and translators from grammatical descriptions containing Java, C#, C++, or Python actions.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,754dece5-ffb7-4dac-bf68-98749e7781ba,2026-02-10T21:34:50.468994+00:00,252,176,79,4,9,5118,1811,12,10,15,15,12,0,
ST4,4.3.4,org.antlr,antlr,https://github.com/antlr/stringtemplate4,73,True,,False,"StringTemplate is a java template engine for generating source code, web pages, emails, or any other formatted text output. StringTemplate is particularly good at multi-targeted code generators, multiple site skins, and internationalization/localization. It evolved over years of effort developing jGuru.com. StringTemplate also powers the ANTLR 3 and 4 code generator. Its distinguishing characteristic is that unlike other engines, it strictly enforces model-view separation. Strict separation makes websites and code generators more flexible and maintainable; it also provides an excellent defense against malicious template authors.",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,e5b607d9-43c9-4961-b582-dfcee02a574f,2026-02-10T21:34:50.555706+00:00,1025,234,140,8,15,5851,8,18,10,15,15,15,0,
org.abego.treelayout.core,1.0.3,org.abego.treelayout,"abego Software GmbH, Germany",https://github.com/abego/treelayout,53,Undetermined,,False,Efficient and customizable TreeLayout Algorithm in Java.,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,655d3b61-20d9-4c4a-8037-856993c8c940,2026-02-10T21:34:50.461989+00:00,97,24,5,2,2,3929,810,4,9,10,15,15,0,
icu4j,72.1,com.ibm.icu,unicode-org,https://github.com/unicode-org/icu,75,True,,False,"International Component for Unicode for Java (ICU4J) is a mature, widely used Java library providing Unicode and Globalization support",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,e072ff4d-c18a-44df-a8b8-8050a8b3e5de,2026-02-10T21:34:50.643256+00:00,3407,865,0,121,597,3687,13,20,10,15,15,15,0,
apm-agent-attach,1.55.2,co.elastic.apm,Elastic Inc.,https://github.com/elastic/apm-agent-java,75,True,,True,APM for Java applications with the Elastic stack,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,0c3b4f38-d78d-494a-b6c5-bcd3d937154d,2026-02-10T21:34:50.616245+00:00,588,324,994,87,91,2920,34,20,10,15,15,15,0,
jna-platform,5.3.1,net.java.dev.jna,java-native-access,https://github.com/java-native-access/jna,75,True,,False,Java Native Access Platform,,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,a4a72ac0-854a-42bc-b550-332095497d5a,2026-02-10T21:34:50.559205+00:00,8890,1685,729,0,69,5401,12,20,10,15,15,15,0,
asm-commons,9.9.1,org.ow2.asm,OW2,https://github.com/llbit/ow2-asm,43,Undetermined,,True,"Usefull class adapters based on ASM, a very small and fast Java bytecode manipulation framework",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,e9baeeab-091f-47f7-86c5-5cb29d95d984,2026-02-10T21:34:50.536331+00:00,68,35,0,0,0,4568,2227,0,7,12,15,9,0,
asm,9.9.1,org.ow2.asm,OW2,https://github.com/llbit/ow2-asm,43,Undetermined,,False,"ASM, a very small and fast Java bytecode manipulation framework",,,,,,,,No,No,Yes,No,"OpenSource, Freeware",N/A,,Yes,maven,DELIVERABLE,e9baeeab-091f-47f7-86c5-5cb29d95d984,2026-02-10T21:34:50.536331+00:00,68,35,0,0,0,4568,2227,0,7,12,15,9,0,
