Component,Version,Group,Is_Direct,License,Vulnerabilities
altair,6.0.0,pypi,False,['BSD License'],
attrs,25.4.0,pypi,False,[],
blinker,1.9.0,pypi,False,['MIT License'],
cachetools,7.0.1,pypi,False,[],
certifi,2026.1.4,pypi,False,['MPL-2.0'],
charset-normalizer,3.4.4,pypi,False,['MIT'],
click,8.0.4,pypi,False,['BSD-3-Clause'],
colorama,0.4.6,pypi,False,['BSD License'],
contourpy,1.3.3,pypi,False,['BSD License'],
cycler,0.12.1,pypi,False,['BSD License'],
dash,4.0.0,pypi,True,['MIT'],
Flask,2.2.5,pypi,False,['BSD-3-Clause'],
fonttools,4.61.1,pypi,False,['MIT'],
gitdb,4.0.12,pypi,False,['BSD License'],
GitPython,3.1.46,pypi,False,['BSD-3-Clause'],
idna,3.11,pypi,False,[],
importlib_metadata,8.7.1,pypi,False,[],
itsdangerous,2.2.0,pypi,False,['BSD License'],
Jinja2,3.1.6,pypi,False,['BSD License'],
joblib,1.5.3,pypi,False,[],
jsonschema,4.26.0,pypi,False,[],
jsonschema-specifications,2025.9.1,pypi,False,[],
kiwisolver,1.4.9,pypi,False,['BSD License'],
MarkupSafe,3.0.3,pypi,False,[],
matplotlib,3.9.4,pypi,True,['Python Software Foundation License'],
narwhals,2.16.0,pypi,False,['MIT License'],
nest-asyncio,1.6.0,pypi,False,['BSD'],
numpy,2.2.6,pypi,True,['BSD License'],
packaging,26.0,pypi,False,[],
pandas,3.0.0,pypi,True,['BSD License'],
pillow,12.1.1,pypi,False,[],
pip,25.0.1,pypi,False,['MIT'],
plotly,6.5.2,pypi,True,['MIT License'],
polars,1.9.0,pypi,True,['MIT License'],
protobuf,3.20.3,pypi,False,['BSD-3-Clause'],
pyarrow,23.0.0,pypi,False,[],
pydeck,0.9.1,pypi,False,['Apache License 2.0'],
Pympler,1.1,pypi,False,"['Apache License, Version 2.0']",
pyparsing,3.3.2,pypi,False,[],
python-dateutil,2.9.0.post0,pypi,False,['Dual License'],
pywin32,311,pypi,False,['PSF'],
referencing,0.37.0,pypi,False,[],
requests,2.32.5,pypi,False,['Apache-2.0'],
retrying,1.4.2,pypi,False,[],
rpds-py,0.30.0,pypi,False,[],
scikit-learn,1.8.0,pypi,True,[],
scipy,1.13.1,pypi,True,['BSD License'],
semver,3.0.4,pypi,False,['BSD License'],
setuptools,82.0.0,pypi,False,[],
six,1.17.0,pypi,False,['MIT'],
smmap,5.0.2,pypi,False,['BSD-3-Clause'],
streamlit,1.9.2,pypi,True,['Apache 2'],
threadpoolctl,3.6.0,pypi,False,['BSD-3-Clause'],
toml,0.10.2,pypi,False,['MIT'],
tornado,6.5.4,pypi,False,['Apache-2.0'],
typing_extensions,4.15.0,pypi,False,[],
tzdata,2025.3,pypi,False,['Apache-2.0'],
tzlocal,5.3.1,pypi,False,['MIT'],
urllib3,2.6.3,pypi,False,[],
validators,0.35.0,pypi,False,['MIT'],
watchdog,6.0.0,pypi,False,['Apache-2.0'],
Werkzeug,3.1.5,pypi,False,[],
zipp,3.23.0,pypi,False,[],
